student_id,module_id,state
0,3320,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""seed"": 1, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}}"
1,13,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1956""}}"
2,3985,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""seed"": 1, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}}"
3,4746,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1946""}, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}}"
4,3977,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1988""}, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}}"
5,4884,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1989""}}"
6,4533,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1968""}}"
7,4084,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1985""}}"
8,332,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1959""}}"
9,3421,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1992""}}"
10,299,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1986""}, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}}"
11,4726,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": false, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1951""}, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}}"
12,4857,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1990""}, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}}"
13,4588,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1989""}}"
14,4284,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1949""}}"
15,2958,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1983""}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}}"
16,2261,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1984""}}"
17,1044,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1986""}}"
18,462,i4x://TELUQ/TUL2/problem/464f8758b5c74dbfb3a20e3a54f99a37,"{""correct_map"": {}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": ""1958""}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-464f8758b5c74dbfb3a20e3a54f99a37_2_1"": {}}}"
